 train         node      observed        predicted
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.300000E+001    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             7    0.300000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             7    0.000000E+000    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.600000E+001    0.185952E+001
     y             7    0.000000E+000    0.185952E+001
     y             7    0.700000E+001    0.185952E+001
     y             7    0.800000E+001    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.700000E+001    0.346800E+001
     y             5    0.800000E+001    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     n             7               NA    0.185952E+001
     n             4               NA    0.000000E+000
     n             7               NA    0.185952E+001
     n             6               NA    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             7    0.200000E+001    0.185952E+001
     y             6    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             4    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             7    0.300000E+001    0.185952E+001
     y             4    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             5    0.600000E+001    0.346800E+001
     y             5    0.900000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             4    0.000000E+000    0.000000E+000
     y             7    0.000000E+000    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     n             5               NA    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             7    0.300000E+001    0.185952E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.800000E+001    0.346800E+001
     y             5    0.900000E+001    0.346800E+001
     y             7    0.300000E+001    0.185952E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             6    0.000000E+000    0.000000E+000
     y             7    0.200000E+001    0.185952E+001
     n             6               NA    0.000000E+000
     y             7    0.200000E+001    0.185952E+001
     y             7    0.300000E+001    0.185952E+001
     y             6    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             4    0.000000E+000    0.000000E+000
     y             7    0.200000E+001    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             5    0.200000E+001    0.346800E+001
     y             5    0.800000E+001    0.346800E+001
     y             6    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             7    0.000000E+000    0.185952E+001
     y             5    0.900000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.700000E+001    0.346800E+001
     y             7    0.000000E+000    0.185952E+001
     y             7    0.000000E+000    0.185952E+001
     y             6    0.000000E+000    0.000000E+000
     y             5    0.800000E+001    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             6    0.000000E+000    0.000000E+000
     y             5    0.000000E+000    0.346800E+001
     y             7    0.000000E+000    0.185952E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             6    0.000000E+000    0.000000E+000
     y             5    0.400000E+001    0.346800E+001
     y             7    0.000000E+000    0.185952E+001
     y             5    0.600000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.600000E+001    0.346800E+001
     y             5    0.900000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             4    0.000000E+000    0.000000E+000
     y             5    0.000000E+000    0.346800E+001
     y             6    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             5    0.900000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             6    0.000000E+000    0.000000E+000
     y             4    0.000000E+000    0.000000E+000
     y             5    0.900000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.700000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             5    0.200000E+001    0.346800E+001
     y             6    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             7    0.900000E+001    0.185952E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             5    0.900000E+001    0.346800E+001
     y             6    0.000000E+000    0.000000E+000
     y             5    0.000000E+000    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.800000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             7    0.000000E+000    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             7    0.000000E+000    0.185952E+001
     y             6    0.000000E+000    0.000000E+000
     y             7    0.200000E+001    0.185952E+001
     y             6    0.000000E+000    0.000000E+000
     y             6    0.000000E+000    0.000000E+000
     y             5    0.200000E+001    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.300000E+001    0.185952E+001
     y             5    0.800000E+001    0.346800E+001
     y             7    0.000000E+000    0.185952E+001
     y             7    0.300000E+001    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.700000E+001    0.346800E+001
     y             6    0.000000E+000    0.000000E+000
     y             5    0.000000E+000    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.000000E+000    0.346800E+001
     y             7    0.600000E+001    0.185952E+001
     y             5    0.000000E+000    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.500000E+001    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.900000E+001    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             5    0.700000E+001    0.346800E+001
     y             4    0.000000E+000    0.000000E+000
     y             5    0.400000E+001    0.346800E+001
     y             6    0.000000E+000    0.000000E+000
     y             7    0.200000E+001    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.900000E+001    0.346800E+001
     y             5    0.700000E+001    0.346800E+001
     y             7    0.700000E+001    0.185952E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             7    0.000000E+000    0.185952E+001
     y             5    0.300000E+001    0.346800E+001
     y             5    0.600000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.600000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.000000E+000    0.346800E+001
     n             5               NA    0.346800E+001
     n             4               NA    0.000000E+000
     n             5               NA    0.346800E+001
     n             5               NA    0.346800E+001
     n             6               NA    0.000000E+000
     y             5    0.000000E+000    0.346800E+001
     y             5    0.900000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     n             5               NA    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.200000E+001    0.346800E+001
     y             5    0.400000E+001    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.300000E+001    0.185952E+001
     y             5    0.600000E+001    0.346800E+001
     y             5    0.900000E+001    0.346800E+001
     y             7    0.400000E+001    0.185952E+001
     y             7    0.000000E+000    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.300000E+001    0.346800E+001
     y             7    0.300000E+001    0.185952E+001
     y             5    0.900000E+001    0.346800E+001
     y             7    0.600000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.300000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             5    0.600000E+001    0.346800E+001
     y             5    0.500000E+001    0.346800E+001
     y             5    0.900000E+001    0.346800E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.000000E+000    0.346800E+001
     y             5    0.600000E+001    0.346800E+001
     y             7    0.300000E+001    0.185952E+001
     n             7               NA    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             5    0.600000E+001    0.346800E+001
     y             7    0.400000E+001    0.185952E+001
     y             7    0.600000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
     y             7    0.300000E+001    0.185952E+001
     y             5    0.400000E+001    0.346800E+001
     y             7    0.300000E+001    0.185952E+001
     y             7    0.200000E+001    0.185952E+001
